#No.	Label Name:	R	G	B	A
277	rh_superiorfrontal_part12	173	114	218	0
278	rh_superiorfrontal_part13	24	142	15	0
279	rh_superiorparietal_part1	5	44	184	0
280	rh_superiorparietal_part2	240	62	12	0
281	rh_superiorparietal_part3	150	51	104	0
282	rh_superiorparietal_part4	26	157	71	0
283	rh_superiorparietal_part5	238	113	61	0
284	rh_superiorparietal_part6	224	115	89	0
285	rh_superiorparietal_part7	81	226	71	0
286	rh_superiorparietal_part8	198	164	34	0
287	rh_superiorparietal_part9	30	182	158	0
288	rh_superiorparietal_part10	36	78	185	0
289	rh_superiortemporal_part1	210	104	185	0
290	rh_superiortemporal_part2	95	97	219	0
291	rh_superiortemporal_part3	72	231	104	0
292	rh_superiortemporal_part4	47	132	42	0
293	rh_superiortemporal_part5	13	64	163	0
294	rh_superiortemporal_part6	245	79	199	0
295	rh_supramarginal_part1	164	134	75	0
296	rh_supramarginal_part2	245	210	62	0
297	rh_supramarginal_part3	111	77	236	0
298	rh_supramarginal_part4	112	226	18	0
299	rh_supramarginal_part5	187	23	38	0
300	rh_supramarginal_part6	97	95	215	0
301	rh_supramarginal_part7	131	103	2	0
302	rh_frontalpole_part1	77	115	71	0
303	rh_temporalpole_part1	226	92	33	0
304	rh_transversetemporal_part1	219	217	129	0
305	rh_insula_part1	53	83	247	0
306	rh_insula_part2	197	134	218	0
307	rh_insula_part3	91	145	124	0
308	rh_insula_part4	92	107	224	0
